source_row,label,binary_target,random_forest_prediction,traditional_prediction,random_forest_correct,traditional_correct
4,BENIGN,0,0,1,True,False
9,BENIGN,0,0,1,True,False
10,DDoS,1,1,0,True,False
13,DoS Hulk,1,1,0,True,False
14,DDoS,1,1,0,True,False
15,BENIGN,0,0,1,True,False
28,DDoS,1,1,0,True,False
30,DoS Hulk,1,1,0,True,False
39,DDoS,1,1,0,True,False
48,DDoS,1,1,0,True,False
51,DDoS,1,1,0,True,False
54,BENIGN,0,0,1,True,False
59,DDoS,1,1,0,True,False
61,DDoS,1,1,0,True,False
62,BENIGN,0,0,1,True,False
67,DoS Hulk,1,1,0,True,False
68,DDoS,1,1,0,True,False
74,BENIGN,0,0,1,True,False
84,BENIGN,0,0,1,True,False
98,DDoS,1,1,0,True,False
99,DDoS,1,1,0,True,False
109,BENIGN,0,0,1,True,False
116,BENIGN,0,0,1,True,False
134,BENIGN,0,0,1,True,False
135,BENIGN,0,0,1,True,False
145,DoS GoldenEye,1,1,0,True,False
146,BENIGN,0,0,1,True,False
147,DoS Slowhttptest,1,1,0,True,False
150,BENIGN,0,0,1,True,False
154,BENIGN,0,0,1,True,False
161,BENIGN,0,0,1,True,False
169,BENIGN,0,0,1,True,False
176,BENIGN,0,0,1,True,False
183,BENIGN,0,0,1,True,False
187,BENIGN,0,0,1,True,False
196,BENIGN,0,0,1,True,False
209,DDoS,1,1,0,True,False
212,DDoS,1,1,0,True,False
227,DDoS,1,1,0,True,False
229,DDoS,1,1,0,True,False
242,DDoS,1,1,0,True,False
248,DDoS,1,1,0,True,False
250,BENIGN,0,0,1,True,False
255,BENIGN,0,0,1,True,False
256,BENIGN,0,0,1,True,False
259,BENIGN,0,0,1,True,False
261,DDoS,1,1,0,True,False
277,BENIGN,0,0,1,True,False
278,BENIGN,0,0,1,True,False
283,BENIGN,0,0,1,True,False
306,DDoS,1,1,0,True,False
309,DDoS,1,1,0,True,False
317,BENIGN,0,0,1,True,False
333,DDoS,1,1,0,True,False
340,BENIGN,0,0,1,True,False
343,DoS Hulk,1,1,0,True,False
347,BENIGN,0,0,1,True,False
356,DDoS,1,1,0,True,False
370,DDoS,1,1,0,True,False
372,DDoS,1,1,0,True,False
385,DDoS,1,1,0,True,False
409,BENIGN,0,0,1,True,False
442,BENIGN,0,0,1,True,False
448,DoS Hulk,1,1,0,True,False
449,DDoS,1,1,0,True,False
457,DDoS,1,1,0,True,False
465,DoS Hulk,1,1,0,True,False
466,DoS GoldenEye,1,1,0,True,False
469,DDoS,1,1,0,True,False
486,DoS Hulk,1,1,0,True,False
488,BENIGN,0,0,1,True,False
495,DDoS,1,1,0,True,False
496,BENIGN,0,0,1,True,False
516,DDoS,1,1,0,True,False
517,BENIGN,0,0,1,True,False
523,DDoS,1,1,0,True,False
527,DDoS,1,1,0,True,False
537,BENIGN,0,0,1,True,False
543,BENIGN,0,0,1,True,False
546,BENIGN,0,0,1,True,False
563,BENIGN,0,0,1,True,False
566,DDoS,1,1,0,True,False
573,BENIGN,0,0,1,True,False
575,BENIGN,0,0,1,True,False
582,DoS Hulk,1,1,0,True,False
630,BENIGN,0,0,1,True,False
631,DDoS,1,1,0,True,False
632,BENIGN,0,0,1,True,False
634,Web Attack - Brute Force,1,1,0,True,False
653,DDoS,1,1,0,True,False
656,DDoS,1,1,0,True,False
662,BENIGN,0,0,1,True,False
667,DoS Hulk,1,1,0,True,False
669,DDoS,1,1,0,True,False
679,BENIGN,0,0,1,True,False
693,BENIGN,0,0,1,True,False
695,DDoS,1,1,0,True,False
700,DDoS,1,1,0,True,False
711,BENIGN,0,0,1,True,False
714,BENIGN,0,0,1,True,False
723,DDoS,1,1,0,True,False
737,DoS Hulk,1,1,0,True,False
742,BENIGN,0,0,1,True,False
744,DDoS,1,1,0,True,False
745,DDoS,1,1,0,True,False
755,BENIGN,0,0,1,True,False
759,DDoS,1,1,0,True,False
769,DDoS,1,1,0,True,False
777,DDoS,1,1,0,True,False
778,BENIGN,0,0,1,True,False
779,DoS Hulk,1,1,0,True,False
784,DDoS,1,1,0,True,False
807,DoS Slowhttptest,1,0,1,False,True
810,BENIGN,0,0,1,True,False
825,BENIGN,0,0,1,True,False
835,DoS GoldenEye,1,1,0,True,False
839,DoS slowloris,1,0,1,False,True
847,BENIGN,0,0,1,True,False
859,DDoS,1,1,0,True,False
865,BENIGN,0,0,1,True,False
872,DDoS,1,1,0,True,False
886,DDoS,1,1,0,True,False
896,DoS GoldenEye,1,1,0,True,False
910,DoS slowloris,1,0,1,False,True
915,BENIGN,0,0,1,True,False
953,DDoS,1,1,0,True,False
958,BENIGN,0,0,1,True,False
965,BENIGN,0,0,1,True,False
975,BENIGN,0,0,1,True,False
976,BENIGN,0,0,1,True,False
980,BENIGN,0,0,1,True,False
